measurement_name	peak_name	t	r	signal	index_t	index_r
BD18_1510091725.csv	p2	0.88811	116.954	49.6304	1532	235
BD18_1510091725.csv	p3	0.96674	100.028	49.4037	1667	201
BD18_1510091725.csv	p4	1.03721	100.028	34.6422	1788	201
BD18_1510091725.csv	p6	0.5113	0	55.8216	885	0
BD18_1510091725.csv	p11	0.48043	42.76	637.623	832	86
BD18_1510091725.csv	p13	0.92481	104.068	103.35	1595	209
BD18_1510091725.csv	p14	0.48043	53.243	677.665	832	107
BD18_1510091725.csv	p15	0.51479	15.429	32.1659	891	31
BD18_1510091725.csv	p18	0.48043	64.226	619.887	832	129
BD18_1510091725.csv	p21	0.45247	4.446	215.509	784	9
BD18_1510091725.csv	p23	0.48043	79.607	645.321	832	160
BD18_1510091725.csv	p24	1.04828	99.513	31.1098	1807	200
BD18_1510091725.csv	p26	0.54857	7.504	273.884	949	15
BD18_1510091725.csv	p31	0.97373	100.558	50.179	1679	202
BD18_1510091725.csv	p33	0.49382	43.306	129.971	855	87
BD18_1510091725.csv	p34	1.0046	97.563	44.6127	1732	196
BD18_1510091725.csv	p35	0.49382	51.839	142.714	855	104
BD18_1510091725.csv	p39	0.49382	64.226	121.922	855	129
BD18_1510091725.csv	p42	0.58643	2.949	47.7667	1014	6
BD18_1510091725.csv	p43	0.48043	148.825	687.572	832	299
BD18_1510091725.csv	p46	0.49382	79.607	128.211	855	160
BD18_1510091725.csv	p50	0.68544	33.353	41.3955	1184	67
BD18_1510091725.csv	p55	0.68835	66.238	57.5951	1189	133
BD18_1510091725.csv	p58	0.49382	148.825	140.854	855	299
BD18_1510091725.csv	p63	0.97722	94.022	51.6189	1685	189
BD18_1510091725.csv	p65	0.51071	13.463	35.585	884	27
BD18_1510091725.csv	p66	0.4484	24.867	30.8565	777	50
BD18_1510091725.csv	p68	0.44898	15.429	48.4848	778	31
BD18_1510091725.csv	p70	0.94402	93.585	56.8627	1628	188
BD18_1510091725.csv	p71	0.48043	16.396	608.33	832	33
BD18_1510091725.csv	p72	0.95626	94.022	51.5777	1649	189
BD18_1510091725.csv	p73	0.48043	24.867	581.96	832	50
BD18_1510091725.csv	p75	0.48043	0	874.547	832	0
BD18_1510091725.csv	p76	1.01042	95.082	42.5705	1742	191
BD18_1510091725.csv	p78	0.49382	24.867	123.799	855	50
BD18_1510091725.csv	p80	0.49499	6.974	303.385	857	14
BD18_1510091725.csv	p81	0.84618	29.89	738.196	1460	60
BD18_1510091725.csv	p83	0.96091	94.022	50.586	1657	189
BD18_1510091725.csv	p86	0.9481	93.585	55.1849	1635	188
BD18_1510091725.csv	p89	0.98246	97.563	50.3804	1694	196
BD18_1510091725.csv	p90	0.60681	108.53	103.722	1049	218
BD18_1510091725.csv	p92	0.9912	95.613	47.6674	1709	192
BD18_1510091725.csv	p93	1.1403	99.513	65.9892	1965	200
BD18_1510091725.csv	p99	0.6435	32.885	375.215	1112	66
BD18_1510091725.csv	p103	1.04187	95.082	32.4979	1796	191
BD18_1510091725.csv	p105	0.4484	52.806	32.5806	777	106
BD18_1510091725.csv	p108	0.64408	26.895	329.376	1113	54
BD18_1510091725.csv	p109	0.93937	93.585	57.3823	1620	188
BD18_1510091725.csv	p115	0.99819	97.563	45.4631	1721	196
BD18_1510091725.csv	p117	0.60681	90.59	96.2017	1049	182
BD18_1510091725.csv	p118	1.0343	98.093	35.147	1783	197
BD18_1510091725.csv	p123	1.01857	98.093	39.5805	1756	197
